;CruoG;CruoS;CrieG;CrieS;schiVG;schiVS;lliG;lliS;artG;artS;prIVamoG;prIVamoS;prVIanoG;prVIanoS;impfVIvanoG;impfVIvanoS;futrG;futrS;condG;condS;trG;trS;senzaG;senzaS;ultimG;ultimS;congG;congS
1495-;0;2;0;3;0;1;0;0;1;5;2;1;0;0;0;0;13;0;3;0;0;0;0;0;0;0;0;3
1505-;2;15;3;82;0;0;0;9;34;35;0;12;3;1;5;1;162;8;32;6;1;0;2;8;12;0;10;41
1510-;1;9;0;53;0;0;3;9;13;38;0;5;1;2;0;1;103;9;21;0;1;0;1;4;18;0;13;14
1515-;1;19;8;82;0;0;2;11;11;80;3;8;3;2;1;3;143;7;35;2;1;2;4;2;22;0;12;31
1520-;0;8;3;56;0;0;0;8;3;54;1;5;2;0;1;3;47;0;19;1;3;1;7;3;11;0;4;15
1525-;0;7;4;36;0;1;0;6;2;36;2;3;2;0;0;0;40;0;25;3;11;0;7;2;3;0;4;13
1530-;1;5;1;8;0;0;1;1;31;5;0;0;4;0;0;0;30;4;16;2;2;0;3;0;5;0;7;10
1535-;0;1;0;3;0;0;0;0;7;1;0;0;0;0;0;0;5;0;2;0;0;0;1;0;1;0;1;0
1540-;5;17;2;51;0;0;3;8;79;5;3;1;4;0;2;0;77;2;12;0;3;2;8;0;3;9;14;27
1545-;14;29;11;82;1;1;7;17;143;5;3;6;11;1;1;0;196;8;37;2;11;0;16;0;26;0;35;88
1550-;8;12;6;45;0;0;3;7;46;2;4;2;9;0;0;1;50;4;19;3;2;0;8;0;19;0;7;45
1555-;10;9;2;43;1;0;0;2;66;12;3;2;5;0;1;0;81;6;29;1;1;0;23;1;13;1;14;23
1560-;0;5;0;6;0;0;14;2;38;2;2;1;4;0;0;0;49;1;12;0;0;0;4;0;7;1;4;4
